Date,Deaths,New
3/1/2020,0,0
3/2/2020,0,0
3/3/2020,0,0
3/4/2020,0,0
3/5/2020,0,0
3/6/2020,0,0
3/7/2020,0,0
3/8/2020,0,0
3/9/2020,0,0
3/10/2020,0,0
3/11/2020,0,0
3/12/2020,0,0
3/13/2020,0,0
3/14/2020,0,0
3/15/2020,0,0
3/16/2020,0,0
3/17/2020,0,0
3/18/2020,0,0
3/19/2020,0,0
3/20/2020,1,1
3/21/2020,1,0
3/22/2020,5,4
3/23/2020,9,4
3/24/2020,11,2
3/25/2020,15,4
3/26/2020,25,10
3/27/2020,35,10
3/28/2020,44,9
3/29/2020,48,4
3/30/2020,56,8
3/31/2020,89,33
4/1/2020,122,33
4/2/2020,154,32
4/3/2020,192,38
4/4/2020,216,24
4/5/2020,231,15
4/6/2020,260,29
4/7/2020,356,96
4/8/2020,433,77
4/9/2020,503,70
4/10/2020,599,96
4/11/2020,686,87
4/12/2020,756,70
4/13/2020,844,88
4/14/2020,957,113
4/15/2020,1108,151
4/16/2020,1245,137
4/17/2020,1404,159
4/18/2020,1560,156
4/19/2020,1706,146
4/20/2020,1809,103
4/21/2020,1961,152
4/22/2020,2182,221
4/23/2020,2360,178
4/24/2020,2556,196
4/25/2020,2730,174
4/26/2020,2899,169
4/27/2020,3003,104
4/28/2020,3153,150
4/29/2020,3405,252
4/30/2020,3562,157
5/1/2020,3716,154
5/2/2020,3846,130
5/3/2020,4004,158
5/4/2020,4090,86
5/5/2020,4212,122
5/6/2020,4420,208
5/7/2020,4552,132
5/8/2020,4702,150
5/9/2020,4840,138
5/10/2020,4979,139
5/11/2020,5108,129
5/12/2020,5141,33
5/13/2020,5315,174
5/14/2020,5482,167
5/15/2020,5592,110
5/16/2020,5705,113
5/17/2020,5797,92
5/18/2020,5862,65
5/19/2020,5938,76
5/20/2020,6066,128
5/21/2020,6148,82
5/22/2020,6228,80
5/23/2020,6304,76
5/24/2020,6372,68
5/25/2020,6416,44
5/26/2020,6473,57
5/27/2020,6547,74
5/28/2020,6640,93
5/29/2020,6718,78
5/30/2020,6768,50
