date,Cases in Residents/Healthcare Workers of LTCFs,facilities,Deaths Reported in LTCFs
6/1/2020,21413,349,4349
6/2/2020,21608,350,4382
6/3/2020,21785,350,4447
6/4/2020,21892,350,4479
6/5/2020,21949,350,4504
6/6/2020,22058,351,4537
6/7/2020,22191,351,4574
6/8/2020,22295,361,4597
6/9/2020,22479,363,4630
6/10/2020,22526,364,4671
6/11/2020,22561,365,4705
6/12/2020,22659,366,4736
6/13/2020,22706,366,4768
6/14/2020,22711,366,4803
6/15/2020,22795,366,4817
6/16/2020,22839,367,4834
6/17/2020,22932,368,4875
