Date,Male,Female,Unknown
3/15/2020,90,74,0
3/16/2020,104,93,0
3/17/2020,116,102,0
3/18/2020,137,119,0
3/19/2020,169,159,0
3/20/2020,218,195,0
3/21/2020,275,249,1
3/22/2020,338,308,0
3/23/2020,,,
3/24/2020,589,567,3
3/25/2020,933,903,2
3/26/2020,1218,1218,2
3/27/2020,1603,1623,14
3/28/2020,2067,2157,33
3/29/2020,2402,2519,34
3/30/2020,2759,2961,32
3/31/2020,3218,3369,33
4/1/2020,3733,3959,46
4/2/2020,4297,4612,57
4/3/2020,4974,5359,69
4/4/2020,5531,6124,81
4/5/2020,5901,6528,71
4/6/2020,6552,7249,36
4/7/2020,7161,7995,46
4/8/2020,7874,8872,44
4/9/2020,8776,9988,177
4/10/2020,9653,11094,227
4/11/2020,10443,12150,267
4/12/2020,11390,13315,770
4/13/2020,11954,14038,875
4/14/2020,12531,14750,882
4/15/2020,13250,15547,1121
4/16/2020,14176,16794,1211
4/17/2020,14991,17823,1588
4/18/2020,15773,18766,1833
4/19/2020,16909,20138,1030
4/20/2020,17434,20777,1432
4/21/2020,18151,21542,1506
4/22/2020,18921,22585,1438
4/23/2020,20250,24327,1446
4/24/2020,22385,27111,1473
4/25/2020,23412,28454,1482
4/26/2020,24118,29331,1489
4/27/2020,24804,30193,1465
4/28/2020,25593,31258,1451
4/29/2020,26434,32378,1453
4/30/2020,27374,33415,1416
5/1/2020,28340,34548,1423
5/2/2020,29230,35660,1373
5/3/2020,29996,36699,1392
5/4/2020,30401,37313,1373
5/5/2020,30949,37957,1365
5/6/2020,31703,39012,1310
5/7/2020,32437,39991,1293
5/8/2020,33123,40947,1263
5/9/2020,33761,41729,1253
5/10/2020,34204,42342,1247
5/11/2020,34486,42741,1235
5/12/2020,34913,43205,1214
5/13/2020,35415,43823,1259
5/14/2020,36136,44782,1264
5/15/2020,36704,45484,1233
5/16/2020,37318,46252,1363
5/17/2020,37810,46825,1375
5/18/2020,38246,47429,1377
5/19/2020,38687,47908,1330
5/20/2020,39153,48481,1336
5/21/2020,39658,49077,1349
5/22/2020,40010,49545,1334
5/23/2020,40371,49951,1340
5/24/2020,40792,50529,1354
5/25/2020,41043,50866,1362
5/26/2020,41219,51130,1344
5/27/2020,41475,51417,1328
5/28/2020,41788,51759,1348
5/29/2020,42043,52134,1335
5/30/2020,42331,52505,1465
