LDHH,Parish,Cases,Deaths,Commercial Tests,State Tests,FID,Column10,Column11,x,y
4,Acadia,133,10,1871,42,1,,,-10287256.783187998,3540974.1934074564
5,Allen,90,9,376,32,2,,,-10333543.42745984,3587782.93213322
2,Ascension,627,40,3090,56,3,,,-10120199.62335453,3529750.239441165
3,Assumption,189,6,712,51,4,,,-10137042.262311555,3490821.6645793305
6,Avoyelles,73,7,894,55,5,,,-10241549.000268279,3642689.4146340676
5,Beauregard,42,3,712,8,6,,,-10390928.624963773,3587216.1699105264
7,Bienville,77,13,529,19,7,,,-10358946.535258865,3809003.114831105
7,Bossier,287,17,5449,44,8,,,-10420083.199602531,3852857.002733777
7,Caddo,1579,113,13235,124,9,,,-10450952.094399506,3839827.798885799
5,Calcasieu,437,29,5595,123,10,,,-10392565.021478435,3533072.5757281906
8,Caldwell,20,0,273,75,11,,,-10254373.005607665,3775449.62557093
5,Cameron,3,0,72,1,12,,,-10370134.14408359,3493112.751841207
6,Catahoula,40,2,209,8,13,,,-10230428.183138032,3715327.4434908433
7,Claiborne,59,7,434,25,14,,,-10352233.969964031,3871825.723239455
6,Concordia,39,4,231,6,15,,,-10201318.13629559,3690859.394422525
7,De Soto,194,11,1314,20,16,,,-10434576.997303816,3770825.3006083504
2,East Baton Rouge,1989,146,9048,551,17,,,-10140715.805507733,3572952.0446759933
8,East Carroll,9,0,262,4,18,,,-10156233.742524315,3859896.394859259
2,East Feliciana,128,14,381,172,19,,,-10135138.699018989,3612660.396081652
4,Evangeline,51,1,589,90,20,,,-10286577.734294157,3597627.73082642
8,Franklin,130,3,683,32,21,,,-10205069.603135323,3780849.991122153
6,Grant,14,0,297,8,22,,,-10303676.408080004,3710901.1912284456
4,Iberia,261,21,2076,207,23,,,-10213919.50265339,3499442.344662809
2,Iberville,459,30,1080,337,24,,,-10170170.942771632,3531648.978740774
8,Jackson,40,2,339,25,25,,,-10303487.164945656,3803043.454476528
1,Jefferson,6305,368,22884,850,26,,,-10033014.198165242,3468945.9830374937
5,Jefferson Davis,63,6,713,114,27,,,-10332018.350435972,3538039.0255269627
6,La Salle,26,0,401,26,28,,,-10259259.93125349,3720999.218044266
4,Lafayette,463,20,8885,91,29,,,-10248506.46844286,3530168.865117412
3,Lafourche,661,50,2747,374,30,,,-10067322.865227725,3448429.5162453293
8,Lincoln,85,8,601,77,31,,,-10315398.350460537,3842561.460019133
9,Livingston,229,15,2512,39,32,,,-10101041.53898901,3561580.8148531397
8,Madison,7,0,143,11,33,,,-10157391.465228565,3811637.432980501
8,Morehouse,52,4,744,31,34,,,-10219329.629905943,3871499.85631458
7,Natchitoches,86,4,735,45,35,,,-10363432.710737834,3727167.025326693
1,Orleans,6495,437,22369,1783,36,,,-10005685.263175491,3512320.6196337542
8,Ouachita,730,21,5324,245,37,,,-10258625.410155967,3826287.7042223224
,Out of State,0,0,3104,121,38,,,0,0
,Parish Under Investigation,63,0,0,0,39,,,0,0
1,Plaquemines,179,17,924,10,40,,,-10001555.310067061,3456784.848227697
2,Pointe Coupee,104,15,417,108,41,,,-10193113.889824126,3581957.3746667574
6,Rapides,270,10,2276,112,42,,,-10300748.705472142,3658620.1381813665
7,Red River,29,5,189,14,43,,,-10390550.138695076,3775561.314531145
8,Richland,66,0,771,24,44,,,-10211648.585041204,3824147.525620587
7,Sabine,17,1,351,25,45,,,-10411411.411269734,3707251.3324243226
1,St. Bernard,469,20,1967,41,46,,,-9993785.209609691,3485216.3946821494
3,St. Charles,573,38,3056,68,47,,,-10059096.354858104,3488646.538745664
9,St. Helena,28,1,121,6,48,,,-10097824.405705085,3609672.114795786
3,St. James,247,19,1571,107,49,`,,-10107397.881913304,3506939.911676027
3,St. John the Baptist,771,71,2619,189,50,,,-10079623.668960385,3513462.897983378
4,St. Landry,181,44,2153,88,51,,,-10242038.806027768,3580798.537430845
4,St. Martin,241,17,1828,29,52,,,-10210980.668096446,3532937.2949286015
3,St. Mary,193,23,976,142,53,,,-10180345.544230137,3468099.9312919388
9,St. Tammany,1270,112,7950,255,54,,,-10011930.286608994,3561118.5352116227
9,Tangipahoa,565,23,3043,55,55,,,-10064617.80160145,3586895.2748300675
8,Tensas,1,0,53,1,56,,,-10167922.289057609,3763563.9723020704
3,Terrebonne,450,33,2431,236,57,,,-10113097.43984192,3431495.9976110803
8,Union,125,6,749,30,58,,,-10283126.830079567,3873039.19327773
4,Vermilion,37,1,1393,21,59,,,-10277416.140201872,3483772.465794131
6,Vernon,16,2,590,3,60,,,-10373206.562029485,3646859.6663601766
9,Washington,273,21,1181,304,61,,,-10023262.61077175,3613735.3157097343
7,Webster,92,4,1527,13,62,,,-10390004.673190188,3857402.162682951
2,West Baton Rouge,108,19,545,20,63,,,-10164894.39890803,3563268.6671164106
8,West Carroll,4,0,225,22,64,,,-10180913.273633184,3867302.8079597773
2,West Feliciana,129,2,59,185,65,,,-10176004.0840892,3616641.5648341277
6,Winn,38,2,312,31,66,,,-10312270.272769246,3756026.2806381825
