County,Cases,Deaths
Albany,0,0
Albany,47,0
Allegany,4,0
Bronx,1368,0
Broome,7,0
Cattaraugus,1,0
Cayuga,11,0
Chautauqua,2,0
Chemung,0,0
Chenango,5,0
Clinton,3,0
Columbia,4,0
Cortland,1,0
Delaware,2,0
Dutchess,105,0
Erie,47,0
Essex,2,0
Franklin,0,0
Fulton,3,0
Genesee,9,0
Greene,6,0
Hamilton,0,0
Herkimer,4,0
Jefferson,1,0
Kings,1321,0
Lewis,0,0
Livingston,3,0
Madison,8,0
Monroe,44,0
Montgomery,1,0
Nassau,1372,0
New York,616,0
Niagara,10,0
Oneida,14,0
Onondaga,11,0
Ontario,8,0
Orange,442,0
Orleans,2,0
Oswego,0,0
Otsego,2,0
Putnam,49,0
Queens,1551,0
Rensselaer,12,0
Richmond,500,0
Rockland,457,0
Saratoga,10,0
Schenectady,24,0
Schoharie,0,0
Schuyler,1,0
Seneca,0,0
St. Lawrence,2,0
Steuben,28,0
Suffolk,1279,0
Sullivan,24,0
Tioga,1,0
Tompkins,0,0
Ulster,70,0
Warren,3,0
Washington,1,0
Wayne,2,0
Westchester,1073,0
Wyoming,1,0
Yates,1,0
Total,10575,0
